Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
009,0,0,0,0,0,0,0,1,25,9,18,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,0,0,0,0,0,0,0,1,31,11,15,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,470,109,3,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,441,127,218,31,0,0,0,0,2,1,1,1,0,218.0,31.0,441.0,127.0,0.0,0.0,0.0,0.0,
010,441,127,218,31,0,0,0,0,1,1,1,1,0,16.0,22.0,465.0,131.0,0.0,0.0,0.0,0.0,
010,660,97,220,1256,0,0,0,1,31,11,19,11,0,220.0,23.363636363636363,660.0,220.63636363636363,0.0,4.522670168666453,0.0,75.32897547062846,
011,465,131,16,22,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,465,162,32,22,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,441,189,218,31,0,0,0,0,2,1,4,1,0,218.0,31.0,441.0,189.0,0.0,0.0,0.0,0.0,
012,441,189,218,31,0,0,0,0,1,1,4,1,0,147.0,22.0,465.0,193.0,0.0,0.0,0.0,0.0,
012,465,193,147,22,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,660,97,220,1256,0,0,0,1,31,11,27,11,0,220.0,23.363636363636363,660.0,220.63636363636363,0.0,4.522670168666453,0.0,75.32897547062846,
013,441,220,218,31,0,0,0,0,2,1,1,1,0,218.0,31.0,441.0,220.0,0.0,0.0,0.0,0.0,
013,441,220,218,31,0,0,0,0,1,1,1,1,0,52.0,22.0,465.0,224.0,0.0,0.0,0.0,0.0,
013,660,97,220,1190,0,0,0,1,22,8,15,8,0,220.0,23.875,660.0,187.125,0.0,5.303300858899107,0.0,57.115015538823066,
014,465,224,52,22,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,660,200,220,22,0,0,0,0,2,1,3,1,0,220.0,22.0,660.0,200.0,0.0,0.0,0.0,0.0,
014,660,200,220,22,0,0,0,0,1,1,3,1,0,114.0,19.0,680.0,201.0,0.0,0.0,0.0,0.0,
014,660,222,220,22,0,0,0,0,2,1,2,1,0,220.0,22.0,660.0,222.0,0.0,0.0,0.0,0.0,
014,660,222,220,22,0,0,0,0,1,1,2,1,0,69.0,19.0,680.0,223.0,0.0,0.0,0.0,0.0,
014,680,223,69,19,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,0,37,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,0,37,0,0,0,0,0,0,2,1,3,1,0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,
015,0,37,0,0,0,0,0,0,1,1,3,1,0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,
015,0,37,0,0,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,0,37,0,0,0,0,0,0,2,1,3,1,0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,
015,0,37,0,0,0,0,0,0,1,1,3,1,0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,
